Age,BestSquatKg
28.0,82.5
22.5,200.0
29.0,197.5
36.0,136.08
23.0,304.93
22.5,151.95
15.5,142.5
22.5,120.0
28.5,140.0
23.5,167.5
16.0,90.0
34.5,160.0
21.0,130.0
29.0,295.0
16.5,102.5
20.5,185.0
21.0,172.5
50.0,75.0
29.5,195.0
24.5,192.78
22.5,95.0
22.5,110.0
30.5,360.0
26.0,97.5
24.0,290.0
24.5,415.0
74.0,216.0
18.0,100.0
27.5,240.0
20.0,92.5
43.0,272.5
46.0,162.5
29.0,140.0
33.0,155.0
,192.5
28.0,160.0
16.0,172.5
27.5,195.0
22.0,145.0
34.0,237.5
47.5,105.0
26.0,233.6
24.0,280.0
24.0,145.0
29.0,82.5
38.5,93.0
37.5,110.0
23.0,235.0
29.5,217.5
23.0,110.0
51.0,185.0
16.5,152.5
32.0,215.0
28.5,100.0
19.5,110.0
40.0,132.5
32.5,170.0
26.5,59.0
20.0,145.0
24.0,110.0
36.5,127.5
21.0,190.0
21.5,132.5
22.5,217.5
22.0,260.0
24.0,190.0
56.0,235.0
21.0,227.5
36.0,317.51
21.5,100.0
21.0,230.0
30.5,295.0
34.0,235.0
32.0,155.0
21.5,145.0
26.0,200.0
19.5,205.0
28.0,265.0
20.0,217.5
23.5,217.5
26.0,150.0
25.0,117.5
25.0,140.0
41.0,150.0
26.0,192.78
30.0,210.0
41.0,260.0
28.5,122.5
23.0,130.0
19.5,200.0
33.5,161.03
61.5,195.0
39.0,275.0
28.0,107.5
65.0,150.0
37.0,165.0
25.5,185.0
23.0,192.5
38.0,65.0
20.0,90.0
26.0,80.0
25.5,100.0
50.0,86.18
20.5,156.49
28.0,330.0
32.0,235.0
20.5,83.9
22.0,167.5
18.5,162.5
28.0,257.5
18.0,125.0
22.5,247.5
28.0,212.5
47.0,197.5
25.5,397.5
27.0,237.5
60.0,200.0
19.0,197.5
38.0,160.0
17.5,110.0
33.0,172.5
16.5,105.0
26.0,190.0
30.0,172.5
23.0,240.0
25.0,215.0
31.5,107.5
31.0,302.5
27.0,75.0
23.0,92.5
24.0,140.0
36.0,90.0
46.0,160.0
24.0,229.06
29.0,177.5
17.5,237.5
24.0,200.0
45.0,215.46
31.0,277.5
16.0,249.48
32.5,215.0
25.0,145.0
25.0,110.0
16.5,160.0
19.5,217.5
19.5,248.0
22.0,345.0
43.0,72.5
24.0,265.0
28.0,250.0
28.0,210.0
30.0,215.0
22.0,195.0
28.5,260.0
23.5,95.0
27.0,182.5
19.5,200.0
37.0,182.5
44.0,272.5
43.0,212.5
64.5,110.0
31.0,212.5
21.5,152.5
26.0,240.0
15.0,160.0
23.0,172.5
61.5,85.0
21.5,85.0
44.5,137.5
37.5,120.0
24.5,350.0
34.0,170.0
33.5,155.0
19.0,280.0
25.5,260.0
21.5,132.5
33.0,280.0
18.5,230.0
21.0,185.0
21.0,207.5
22.5,67.5
43.0,275.0
22.5,200.0
56.5,210.0
34.0,235.0
24.0,100.0
37.0,172.5
20.5,210.0
33.5,300.0
50.5,110.0
43.0,247.5
42.0,102.5
27.0,242.5
20.5,207.5
35.5,130.0
18.5,167.5
28.5,112.5
51.5,85.0
20.0,185.0
11.0,90.72
27.0,107.5
22.0,162.5
22.5,220.0
70.0,165.0
37.0,265.0
22.0,175.0
21.5,157.5
39.0,275.0
25.0,172.5
44.0,60.0
23.0,275.0
29.0,147.5
26.0,92.5
32.0,250.0
19.0,162.5
48.0,217.5
22.0,95.0
14.5,235.0
20.5,222.5
44.5,260.0
20.0,142.5
28.5,310.5
19.0,333.39
30.0,102.5
23.5,72.5
30.0,145.0
31.5,155.0
22.0,195.04
19.0,97.5
45.0,262.5
37.5,255.0
25.0,127.5
52.0,164.97
16.5,155.0
17.5,130.0
26.0,410.0
24.5,125.0
41.0,227.5
22.5,195.0
70.0,212.5
53.0,82.5
28.5,255.0
29.0,175.0
17.5,200.0
20.5,190.0
17.0,165.56
27.5,155.0
30.0,140.0
34.5,240.0
19.5,315.0
43.5,187.5
22.0,147.5
31.0,107.5
39.0,70.0
35.0,82.5
19.0,140.0
28.0,132.5
19.0,227.5
34.5,137.5
54.0,102.5
27.5,107.5
23.0,157.5
43.0,122.5
23.0,110.0
28.0,240.0
19.5,317.5
38.0,170.0
56.0,150.0
27.0,165.0
53.0,238.14
28.5,135.0
26.0,220.0
35.0,117.93
27.5,142.5
50.0,212.5
34.5,300.0
23.0,140.0
24.5,215.0
32.0,195.0
19.0,140.0
37.0,127.5
36.0,150.0
58.5,225.0
32.0,185.0
